title_clean,first_sentence
pretty panfilo,pretty panfilo lived in pennsylvania
dream,going down the street i heard a scream
baby sister,loves it when my mom plays the flute
famous basketball players,this player kobe bryant can fly high
henry,the fur i see
our flag,red
my angel,that little angel who lies above
night,cats roam in fleets
apples,apples are crunchy
creepies,in the darkness of night ghosts are scary
dogs,dogs run so peacefully in the fog
my fat cat,i have a pet
stars,among the darkness
the lockbox,my family is a safe my dad is the lock
love of friends,i love all my family and friends
my dog is a gangsta,first he started stealing from me my necklace
sounds of bands,boom
vacation,my heart is filled with christmas cheer
when i woke up,when i awoke one morning
walk along,\tyou set a goal to become accepted in the u
americas pride,have you ever seen america's pride
baseball,zoom
thy old trike,i had a 20 year old trike she was falln appert
the green apple tree,the tree was green and filled with apples
standing out,if i were tall
oh how i love trees,trees
eagles,eagles
look,look into my eyesand tell me what you see
sounds of guns,pghhh
game day,the sun is waking and the spring air is crisp
toad,when i awoke this morning a toad was on my head
homework,homework here
candy,candy
sports,sports are cool
competition,competition no going back
ryme time crime thyme,hey
mash potaters,mash potaters they're oh so good
the suns job,the sun's job is never-ending
despairing,despair razes my sanity as i look into your eyes
ode to penny,penny
i love her,i love her dearly oh yes i do
my mind poem,my mind is like a basketball
wolf,the wolf howling in the night lonely
poem of a poem,im writing a poem of a poem
hay,every single day
the tide man,the tide man the cold
the great oak,the great big oak right outside my window
wind,wind is slient
the boy,here lies the boy who loved to wish
medifor,we both run
mystery,when i awoke one morning
my dog,my dog is amazing
houston rockets,houston is the best no one csn take the rest
my cat,my cat is so small he looks like a kitten
cat and dog,cat evil lazily and sleepily coughing hairballs
love above your head,love above your head
if i were a flag,if i were a flag the wind would blow me around
war,i used to be a baby
just me,my nose is red
my mind,my mind is like the size of a small tv is big
morning at midnight,the sun has risen high in the desert sky
my room,my room is nice but i'm lucky i have no mice
polar bear,theres a polar bear in my frigidaire
nonsense,nonsense is nonsense
the wind,the trees are swaying
school rocks,school rocks all day long
dragon and school,a dragon flew dy
my dog named gary,i have dog named gary
smokers epitaph,smoke made my eyes water
ok,what do we say when we lay by the bay
cows return from da moon,cows return from da moon
cowover da moon,cow
jelousy,i have all the jordan's and people hate on me
the wind,the wind
my phone,youve saved me from many days of boredom
what i dont know,i dont know why it rains
the big blue sky,the big blue sky is very high
roses are gold,everyone knows
squirrel on my head,i woke up one morning with a squirrel on my head
if i were,if i were a cloud
pride,sprinting across the african plains
jordan,jordan orderd red dickies and never
nascar,the smell of fuel fills the air
me,my hair is green
the rat,i saw a huge ugly rat
life,life is crazy
the storm,thunder echoes in the distance
recipe for a teddy bear,start with one cuddly unstuffed bear
ouch,i step on a tack ouch
recipe for a teddy bear,start with one unstuffed bear
hope,we all want to picture our future bigger
big bertha,big bertha had once been a nurse
not his time,death has captured someone so dear
jordy and chris,chris is like santa he is always happy
rey mysterio,rey mysterio is the best wrestler in the world
sneakers,shiny new eight and half kicks
my baby girl,she is my sunrise and my sunset
nacho,my wrestler is the hottest in the world
i made a mistake,i went to the park to play with a ball
i am a shoe,i am a shoe this is what i do
ants,ants by: jose armando argued around an area
chicago river,chicago river is blue just like the sky too
tritalee,tritalee
a brick wall,a brick wall is very tall
civil war,marching steadily soldiers staring hunger
baseball,strike one that's a familar sound
baseball,strike one that's a familar sound
sports star,i love to play
my type of friends,i hang out with my friends
summer days and summer night,the days of summer are hot and blazing
applesause,chewy and mushy so yellow with apples
nature,i am the type of girl who loves nature
the cat i once knew,i once knew a cat that was so fat
its a sister thing,shes a trampoline
yuor friend,i am frigthful
girls,girls
how to bake a rainbow,a bowlful of sunlight
barron,my dog barron
what if,what if
shadows in between,in the sense that on a beam 
bullying,bullying makes lives harder fights
the battle,marching men in line
the dragon,the dragon got shot out of a canon
cows,cows are white
spring is,usually people can't wait for spring again
i imagine,i imagine that tomorrow would just be another day
this high schooi is boring,it looks like a jail
my very small dog,my dog's name is ringo
candy hill,there was a man named bill
christmas,one day in a jolly old time
im two small,i'm too small; he is too tall and he is just right
the bear,i was playing in the woods one day
relaxation,leisure mesmerizes me
star,star glowing brightly
aj,a cage of three by four nothing more
what soccer balls do,i am a soccer ball and this what i do 
mothers day poem,flowers bloom in the month of may
springtime waterfall,in the mountains and forests so deep
fire,cackling joyfully
history of the dances that i do,hiphop
random,ready or not
wake up,my dream ends to a fans light in my eyes
my dog,my dog is blue i think is realy cool
loving person,she is a owl
the day i face heaven,there is a time when somone must go
wish,its been a day
darkness,the night so dark and quiet
recess,four square is awesome
halloween,scary
the moon,the king of the night
running,learn to ignore the pain
secrets,secrets
cat,i like my cute cat she's energetic and feisty
polos,polo shirts are the best all different colors
what i carry,when i am a pianist
sodapop,sodapop is sweet like his name
running shoes,orange with dots they speed through grass
perfect day,it was a perfect day with a little breeze
my dog,he's my dog
the star,there was a star
tranquility,tranquility steals my breath away
wind,wind begins softly
usvaldo julie,usvaldo is like a model hes as cute as can be
the race,working hard to get his lead
the american flag,red stripes as bright as cherry pies
light and darkness,the light is bright as the sun
boombang,in the night their was a noise going boom bang
school parents,people wonder why kids hate school
luis,my brother is
school,school helps you learn it is so fun homework
hockey,checking
people,tall
soul,feelings being pent up bent up my head
the game,it's the bottom of the ninth
my shoes,sneakers running
my ant,one ant to walk
my cat sierra,my cat is like a fish out of water
kitty kat,kats love me
where im from,im from beaches to waterfalls
the game winner,one runner is on
night,\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t i lay in my bed
what lies beyond a dream,what lies beyond our dreams
as free as a bird,it is a feeling to be free
just close your eyes,just close your eyes
i am,i am fast and determined
kastacheya,ka'stacheya outspoken
my self,i'm short and skiny
the sound,every day i hear a familiar sound it seems
me and my brother,me and my brother
bill,bill takes pills
me,i'm not a flee
mr dan and the crazy man,once in sillyville
my dog,she's fat and big
summer,when will summer come man this is such a bummer
the rain,the rain fills my heart with saddness
if i were a cloud,if i were a cloud
my cat george,my cat george is orange and funny and playful
everybody says,everybody says i look just like my grandma 
brownie,old like moldey cheese
sun,the sun is very bright shines like neon colors
weekend,monday is boring a lil chat and ignoring
about me,katie
funky the jumpin monkey,funky
death,death is cruel
a prayer for you,i chose to be
octoberfest,its the october fest
mysterious pet,white and gray its simply klee-shay
sugar,my dog is black
bullies and victims,bullies mean
when you cry,when you cry
moon haiku,lady moon she be
fun fall,i called my friend in the fall
a neverending snake,elevated above the street
be your self and no one else,be yourself no atter what
ladybug,ladybug
image,as the time went on
snowflakes,when i went outside it was all white
wild spring fun,the clouds floating by
my computer,computers are the weirdest things
pencil sharpener,as i crank the twirlling handle
my dog,he's laying down in his bed
bored,i am so bored
i hate chickens,chickens are good
me,im me your not im me i love it alot
dork dog,my dog is a dork dog
daisyacrostic,dazzling when the sun shines
my window,as i look outisde my window
dolphins,a dolphin
tickles,tickles is my little dog
joe,jolly outgoing exellent
cat,the cat is fat and round
lunch for my teacher,if i made luch for ms
morning poem,beautiful girls all over the world
my cat,my cat looks like a tiger and we name her that
i found a crazy packaderm,i found a crazy packaderm
the day i went nuts,the day i went nuts
bird,squeak
the quiet guy,people think i cannot write
i would stay up forever,i would stay up forever
the day has finally come,the day has finally come
real dreams real reality,i step out the house to see
find an answer its within me,hi
i reached in my pocket,one day at home i reached in my pocket
summer sounds,birds singing softly in the wind rustled trees
the bouncing ball,bounce bounce
my marvelous mom,mom
recipe for friendship,take a teaspoonof love
the book,it's big and red
upside down,everything has turned upside down
todaytommrowyesterday,today is tomorrow
the kid,who is that kid
sisters,i have two sisters one's name's crabby
luther my dog,my dogs name is luther
the cook,the cook's favorite book is learn how to cook
bff,my b
the sun,the sun is and big fire ball
the point is ,your missing the point
drifting in the world wide sea ,drifting out in the ocean
perfectly fine,burning tears run down my face
eyes,i get lost in those eyes
the picture on the wall,a lady and a baby
green,green is the cold
my dog,barking
my dog,from his adorable head to his always wagging tail
my mom,my mom is very special to me
me,myself funny
autumn,autumn is breezy
my baby butter,he's short noy tall
toddlers,so noisy
the dirty deed,as i walked along a brook
cold as before,looking out my window
friends,friends wonderful
art,what is art? the paint to the paper
spring,spring
cedric,cedric is a nice guy when he wants to be
hi,hi how r u good i'm glad to here it
the flu,i once had the flu
i am shy and scared,i am shy
as deep as me,some things are as deep as me
the ocean,the ocean
who i am,i am athletic
lucy,a small
mother earth,i am the sky
the old man and the sea,there once was a old man and the sea who had a key
red hate,red
moon,sitting in the black dull void above my head
the wispy wind,drifting through the sunlit sky
my mind is like,my mind is like a rainbow
my hero,my hero may not be prince charming
a cat named puppy,furry
forever,i really used to love you
invisible,you see me in the hall
invisible,you see me in the hall
tiger lillies,on the first day
my friend,today i found a friend
nature,i am among the moutains i fell like a giant
me,katie different
my sky,i want to fly like a butterfly in my sky
my tire,my tire is like a top
why,when you smile
just one more,im sitting
be togther,being togther is best time of the year
mud,mud is brown
naughty or nice,mean
secrets,i am an ice cream sunday
hug me,hug me hold me tight let me know you're there
winter,wind ice nippy tremendous eternal renew
the jester,there once was a jester named fester
nasty old nest,when i awoke one morning
waiting for you,the nights grow cold
my cats,cats are cute
running,running
flying flags,we are flags flying free
i am,i am beautiful and confident
suspense,come close
the blue bird,as blue as the sea
dear someone,here i am standing here playing my games
please remember,please remember how the angels above
my little brother,my little brother is 2years old
a boy,boom
mothers,mothers are there all the time
christmas,branches of green
my puppy,i have a puppy
the race,we are going to the race
gnomes,i couldn't think of any poems
heart,heart love
chico,carefree happy insane comfy obious
spring time,spring time
first love,love is in the air
kelly,kelly laughing
blah,blah is all i hear
falling under,the ocean falls over me
school,i went to school it wasn't cool i look like a fool
my mom,my mom is my true love
keegan,there once was a boy named keegan
a winter walk,a winter walk&#x85; dec
me myself and i,everyone tells me i'm beautiful
waffles,waffles are great
crazy kids,last month i had a party
the best,i'm not the best boxer but i'm next to ali
my room,soft music playin
sunset marks the end,the beautiful blues
if animals could talk,what if animals could talk
to go inside a song,go inside a song
love touched us once,love touched our lives
love,love
i am pretty in my own little special way,my hair is blonde
the chair,i do not like being a chair
hey,i love you
take a walk,when i am up north
different,they don't even know me
i used to think,i used to think there were monsters under my bed
i used to think,i used to think there were monsters under my bed
golf,your tee time is set for 6:00 in the morning
train,train fast
lost memories,a tropical flower
a lost world,the ocean breeze is filled with garbage oders
a cold frost,a snowflake is like a diamond
a goal to remember,the puck blasted right pass conley
my thinking shoe,my shoe is thinking of something funny
corymy brown eyed dog,his eyes the color of fresh spring mud
disney world,characters prance about making kids smile
one year older,today is your special day
secrets,the secrets i keep
my mind is like,my mind is like a piece of paper sometimes blank
wheather,the wind blows
i just cant sleep at night,talking
soccer,people always kick me around
story of a guy,there once was a man without much of a tan
what it takes to be me,i am the girl who wrote this poem
morning,the sun shines upon the fluffy white clouds
a poem,sitting here once again
you me,you were my first kiss and will be my last
spring is here,birds chirping
clock,tick tock tick tock go the hands on the clock
mysterious lover,curly
beautiful girl,blue is the color of her dark eyes
alabama,roses are red voilet are blue
clothes,my favorite
my friends,they're all really nice
when youre gone,when i look into your eyes
i made a mistake,when to the mall to buy some shoes
hawii and alaska,hawii hot
the wind,the wind blows hard
recipe to an outstanding volleyball player,8 quarts of quickness
characteristics about me,football and basketball intrest me
monkeys,monkeys like to play their furry
nba,bam
volleyball,serving it over hoping it will tip the net
my life before you,my life before you was living the same day over
whats the use,whats the use in grounding me
i love you more than anything,i love you more than anything
school,school is terrible
i see people,i see people walking down the street
i lay there,i lie there watching the blood drip from my soul
lizard,rough as a small rock
spaceship,spaceship
swimming,you may think swimming is a piece of cake
the dog of all dogs,its name is lucy
the ball,the ball
why,why is the sky bule
lunch for my teacher,if i had the chance to cook my teachers lunch
friends,friends are the best
camp fire,camp fire
whywhy,pencil pencil
summer,summer is a hot season
the food at my house,almost every night at dinner
monkey,i am like a monkey i am agile
i am special,i am special very
some words,some words are loud bus truck and crowd
fresh,i'm so fresh i dress to impress the best
tonka my greatdane,he licks his black shiney nose
heather,heather is my guinea pig
feelings,hurt is like red like a soldier at war
feelings,hurt is like red like a soldier at war
what is blue,blue is the trickle of running water
my cat,my cat is orange and white with green eyes
take a walk on the wild side,take a walk on the wild side
last day of school,today is the last day of school
summer,summer is the best
ponchos pies,by kimberly poncho made perfect pecan pies
in the beginning,in the beginning i tried to work things out
the cat,my cat is orange and white she is a tabby
the flower,when i went to walk my dog
basketball,basketball
woodstock,he is so adorable
tomorrow,when i was young
fire rise,passion
max,max
when the water is green and the land is blue,when the water is green and the land is blue
love,love
elephants,elephants are really big
school,its the place we go to learn
winter,it's winter
elisey,she's kind of tall
expectations,you know that kid in the background
my realization,it was a cold winter's night
story of the sad girl,sad alone feel like everythings gone
souls,if you have a soul you have a life
skiing,as i step onto the hill
worlds mysteries,i wonder
the golden eagle,once there was an eagle his name was evil con-evil
my grandpa is my hero,my grandpa is my hero
little sisters,alway's agravating
shadow,young as a ripe tomato
grass,grass is as prickly as a pine needle
griffen,my dog griffen is very big
cars,flashy
when atoms split,within the autumn morning mist
green eggs and ham remastered,i do not like green eggs and ham
me,i am asian
me,look up look down
the oyster,there once was an oyster who story i tell
propaganda,the leader with charm
the loving child,a child lay
my teddy bear,the soft fur against my face
spring break,i look out my window
colleen,colllen's teeth may be brown
your face,when i look up at the sun
rain,rain
if i were,if i were a motorcycle
erica,erica is my friend
my dog,my dog is very bright
friends,once there was a queen and she had a cat
go inside a rainbow,i want to go inside a rainbow
the island animal,the island animals are making sounds
thinking of you,flowers blooming in the middle of may
my frog,my frog is hopper
hopper my frog,my frog is hopper
seasons,fall is first of all
cats and dogs,cats and dogs love to play
true,every hope
life,life life is full of hard times
rascal,rascal baby kitten
roses form love,love without life
mother,mother
erin,erin
pine trees,pine trees have pointy pines
brother brother,brother brother
a friend,i asked god for a flower he gave me a garden
i remember,i remember just the way i felt
inside a box,inside a box could be anything of your dreams
my love,my love is redder then a rose
the epic journey through time,oh
i am hephaestus,i am hephaestus
michael jordan,basketball was his favorite game
the designer of me,the designer of me
i run,i run
music,music is like a sunny day for me
the cap,the bottle had a cap
games,games are fun they give things to when i get home
the journey of life,young
idaho,the place to go is idaho
stale bologne,it sits tucked away
baseball,bat away strikes errors bad allstars legends live
me and my life,i love football it's my favorite sport
scribble poem,growing a little at a time
love,love is a beautiful thing
music poem,you are what i listen to every day
my best friend fred,there once was an ant in my bread
when i eat jelly beans,every day at one
sports,sports hard work sweating
day and night,diamante by: kylie day sunny and bright playing
sky,the sun set
2 friends,friends- friends are always there for the others
love in the air,love is in the air that last forever
ev e,the sound of her bark still echoes in my ear
the way i see her,my dog is gentle
trees,beautiful trees
the little man and his clan,i woke up this morning and heard a sound
the little man and his clan,i woke up this morning and heard a sound
down the stream,paddle by paddle
good charlotte,billy
leaving your childhood behind,when we all become legends
your friend,when your friend turns her back
what you see in the sky,you can see many different things in the sky
trap house,being trap is bad sitting in a lonely room
i wonder why,i wonder why we feel sad sometimes
no no no,my mamma told me no not to tickle daddys toes
me,dear
aj,a
shark,there once was a shark
being me,being me is so good
school,books pencil
a morning ride,the wind is whislting through my hair
shadowed light,dancing swan
wrong desicions,\ti was a straight a student
working at home,snowy
spring,no more cold no more snow
spring,no more cold no more snow
my dog,his nose is black
whose tongue,whose tongue should i let myself go through
to give give me an answer,what can tell us who is right for me
moonlight,i sit outside
the dog,i see him almost everyday
gerbils,i have a very small pet
the horse,the horse is running in the feild
the lonely seal,far
school days,markers
lunch for my teacher,the specialty i have for mr
mountain tops,mountain tops are where i ski
the unmatching clothes a jabberwocky rewrite,twas loud
heavens on the wrong side of the earth,maybe it was in my birth
dead,decomposing in the ground
making myself a poem,is not that i got de time
help,help
the run,i'm at the starting line
grandmothers are,grandmothers are the best
mother nature and trash,mother nature has a heart beat
winter,cold bitter winds
oreo my rat,as she rattles and rumbles upon her cage
daisy,although it is petty to most
yoshi,my dog is as brown as a hersheys choclate
my mom,my mom is the greatist
zekerboy,as he runs out to play
diamante dogs,diamante dogs happy
basketball,basketbal is like the earth that gose round
dance,when you dance you are free
my cat,hes white with stripes hes cute as a button
my brother,i have a brother
my puppy,puppies are like love
what am i,i fall into fresh water
nasty things,nasty things are everywhere
ode tocheetos,cheetos
written with a pen,written with a pen sealed
spring time,spring time is here
tabitha,i have a sister named tabitha
the furry black cat,there once was a furry black cat
endless,on a road to no where
my shoes,i can tie my shoes
love,love
enslaved,hot sun
girls and boys,girls are at the mall like
patriotic spring,white
the trip,you start out sunday morning
my cat boris,my cat is
whered you come from,where'd you come from oh great one
the crow,\t when i woke up one morning
the crow,\t when i woke up one morning
my baby sister,my baby sister is
love,i say to you what you say to me
my rolemodel,my role model is lebron james
hawk eye,the hawk hovered
fast,going quite fast having a blast
baby,if i could just see you
why,why do we have to have school 
music,music is like oxygen to me
dragonflies,dragonfly flies like butterflies
ewdard collen is,edward is as sweet as a sour candy
mrs nelson and mr mendoza,mrs
sounds of the night,woosh-woosh wind outside my bedroom window
popcorn,it smell like my dog on a sunday noon
christmas,christmas lights on the house
namecalling,names
winter,winter is like an inflexible mule
taylor a werid friend,taylor is my bestfriend
summer 2008,summer 2008
suddenly falling,happiness
bullies,kick
hate,bullying
starz,red
the nature world,as i stepped into the nature world
unreachable simple sweater,she said she sold six-teen simple sweaters
hearing love,love is a strong thing
my fat cat,my cat doesnt always listen to me
rose,you are as red as blood yet you make me cry
hope,hope is a way to cope
alone,seek and you'll find
kids,kids we are
new years eve,staying up 'till twelve o'clock
a chihuahua on my head,when i awoke one morning
my dog,she lays in the grass soaking up the sun
conflicts,our world is changing now
a dream is only a dream,morning dew forms on the leaves
friends,friends are important they lighten up your life
at the mound,at the mound i am at the mound
heaven,a warm summer mid-day breeze
parents,parents controlling
friends,friends are the people who are always there
autumn,one by one
dana the dinasaur,dana the dinasaur dodged through the door
broken love,the fowers above me are gray
guardian angel,hes an amazing soldier
i were the american flag,if i were the american flag
me me and me,me
gone,it's gone gone
a perfect evening,as i sit alone on my porch
my dog casey,my dog casey looks like a sumo wrestler
framed memories,here stand some pictures that are framed
cardboard tears,with tears as stone
shoes,shoes
mother,most beloved of all
sky,sky
oliver,a orange and white cat&lt;br&gt;in a grass plain
it was romantic,it was romantic
the watcher,i am the watcher what do i do? well
me,my hair is light
if i was,if i was a cat
life,when you feel left out
pride of a mountain,the mountain sits
eon,the clouds stretch
death,she walked down the corridor
a tranquil beach,the moonlight dances
help me,help me
evenings,the shadows get quite long
a day with you,a day with you would be so nice
family,my family is always full of mystery
soccer,i love to play soccer
shopping days,i love to shop
i love zin,i love zin
cesar,cesar by: lluvia he are like a computer
my cell phone,my cell pohne is very cute
wonderful me,ooh
my mind is like,my mind is like a racetrack
spring is alive,spring is flower-beautiful
i like to learn,i really don't like school
dreams,asleep or awake
bigger than a elephant,bigger than an elephant
magic bluebird,i walked and saw a bluebird
who you are,you are a very wonderful person inside
unnamed,it goes without a name
annoying dog,barking so loud at nothing
how i feel,everyday i feel really sad
written regrets,old
the path change,you can see it in their eyes
my cat,my cat is small
bully,bully mean
not enough hours in a day,not enough hours in a day
my backpack,she is blue and strong like a whale
my sis and me,my sister as brown hair like dirt
solitude,solitary quiet place no noise
toy soldiers,i wonder how a soldier feels
thoughts of a pencil,i am a pencil
my bike,black rims and spokes shiny like obsidian
luke,luke
twelvth man,blue
you,it's a beautiful spring day and you're on my mind
a pine tree,a pine tree is green tall and wide
dear god,thank you god for making me
cats,cats catch corn cans can cats catch corn cans
love poems,love is love
911,lets go back to the year 2001
im free,inspired by a child called it
my big brother,i have a brother
love,friendship is like a river
butterflies,it flies in the sky
the outsiders sodapop curtis,soda with dark brown eyes
lightbulb,my mind is like a lightbulb it flashes on and off
buffaloe,it's big and moves with the wind
there once was a girl who could play,there once was a girl who could play
doggy fun,there once was a dog from brazil
night that never ends,see the calm water
fall,the most wonderful seasons of them all is autumn
japanese tea garden,grandpa and i climb a tall
queen of the sky,soaring through the blue
bystander,bystander standing back watching
autumn,autumn has definitely begun
greg and meg,greg rymes with meg
x,treasure? not here
cowgirl,i'm a cowgirl
writers block,i don't know what to write
mirror,looking in the mirror
night,night is coming softly
edible me,my shirt is alphabet soup
mothers day,dear mom
grandparents day,2
fly little ladybug,fly little ladybug fly away
from out of the mist,i like fog-it's a mystery
fathers day,dear ol' dad
why oh why,i can't stop rhyming
the mountain house,in my mountain house
macaroni cheese,almost every afternoon
miami,where the birds chirp and the sun is hot
the dog next door,barking
summer time,look at the park
nothing ever happens here,nothing ever happens here
peanut butter and jelly,white bread full of peanut butter and jelly
my mind,my mind is like a ten gallon hat
quiet,quiet as a mouse
monkeys,soft and very furry
softball,excitment
friendship,have your back at all times
pond hockey,it's snowing in winter
hockey brothers,me and my brother put on our skates
summer time,summertime
cartoons,cartoons
me,i'm as inocent as a butterfly
september 11th 2001,september 11th
sounds of spring,chirp
my friend,he is the great wall of china
me myself,my face is blue
my sister,my sister by: manuel she is a rabbit
i cant write a poem,i can't dou it
halloween,there comes the night scary one with no sun
weekends,the weekend is finally here
friends,yo
love,yo whats good between be in you
mcdonalds,a guy went to mcdonald
sounds of babysitting,wawawa the baby crying
lco,lco is awesome yo
yo,i can rap
pergo,pergo white
imaginary horses,the wind blows softly again
i am a book,i am a book
candy,colorful and sweet
maggie brandon,maggie is like pucca
i made a mistake,i went to the park to take a hike
the dentists,''this won't hurt a bit
day and night,day and night are not the same
parakeets feet,i've seen no feet like a parakeet's
maria,i have long brown hair
basketball,so light that someone can throw me
dreaming,when i awoke one morning a cat was on my haed
friends,when i'm with friends we
seventh grade,seventh grade smells like friends
we are moving,again and again
ice cream,delicious and sweet
hate,nobody really knows hate till they have felt it
snow,snow is fluffy 
softball,have you heard of softball? yes
buster and buddy,buster is like a baby
if you were to leave me,if you were to leave me i would nearly die
my mind,my mind is a brain to think
pretty in pink,i am the cute girl
field hockey,field hockey is not a game
bio poem,marina who is full of energy
ode to candy,flavor belongs to you
cool,there was once this guy that was really cool
my trampoline,one thing i love to do is jump
my dog,my dog swiftly runs
a tribute to mrs helen gall,i'm sitting here
farewell,midst the path of life there are many fears
shoes,you run in them
i am,i am funny and smart
new thing,it stands so tall
the the love letter,dear love
the harry old man,once there was a hairy old man
louder than a clap of thunder,louder than a clap of thunder
my dog,one day
the chicken,i had a cool chicken
my house,my house is not like other houses
i am,i am a girl and happy
battle of the hero,as the shadows fall
nightime beasts,shadows on the wall
my family is like a closet,my family is like a closet
two minutes of stress,twio minutes of stress
friends,my friends are cool and some are not
socks,there are socks on your feet
popcorn,when i eat popcorn it makes me want some more
apples,alonzo alawd antonio his autumobil
i am a football,people throw me around
my cat,he jumps and catches
yeah,i said yeah
just give in,if you want her gone
austin lane,she sits so sweet and innocent
emmit till,emotions being thrown left and right
why cigarettes,cigarettes are just like threats
the mouse and his cheese,oh how i am happy i am a mouse
looks overpower personality in this day age,
fishing,some fish are small; others are big
the pepindondoo,i once went to the zoo to see a pepindondoo
my old but not so old dog,there is the fur i know maybe not better than her
green is a color of spring,i had won the lottery
the tank,my mother has a big old car
matt,manly an honest guy to imagative to well me
matt,manly an honest guy to imagative to well me
the story about bly,there is a robber named bly
creatures,creatures mystical creatures are cool
my buddy old bear,my buddy old bear is my dog
air,air is smooth
the brick,the brick ate a chick
march madness,college basketball is the best
a friend,they came for me today
what i am,my nose is blue
me,i'm not real mean
a poem,poems are good when you want to express yourself
i cant write,i cant write a poem because
i cant write a poem,i cant write a poem because
rod,there once was a boy named rod
the walk,i get up and out of bed and beigin to walk
oh oprah,oh
path of life,there is a path
i wonder if,i wonder when
jaguars,jaguars fuzzy
skate boarding,the feeling of the ground under your feet
sept 11 feelings,i felt so bad when people die
signs of courage,courage is everything in the world
springtime dreams,the clouds come rolling in
our lord our rock,our lord
spring,spring is my favortie time of year
mothers day,you cook and you clean
life,sorrow i see
a room in the dow house,glass allowed the room to be bright
bullies,bullying
on the east side inspired by the outsiders,a cool
theatre blues,i supply you with food and entertainment
allie and zack,monday allie
the broken clock,the broken clock
her life,he was her life
one little puppy,the fishes that swim in the seas
my mind,my mind is like a bananna
me,me
thy skatebard,there was a piece of wood
another riddle,on my way to saint ives
la resistance melody,god has smiled upon you this day
please mr poppin fresh,please mr
the garden gnomes revenge,as i stare from my window
my hamster,not so very sweet
computers,gabby is sitting nest to me were in computers
psalms,jesus walks down the town a man came up to him
my friend sierra,my friend sierra is so tall
the stork on my head,when i awoke one morn a stalk was on my head
doves,i see the doves
wishing for you,like a velvet blanket enclosed in blue
bunny,i have lots of bunnies
i wonder why,i wonder why the sky is blue
angels,angels in the air
hamburger,almost every afternoon
the beach,sitting upon the hot
the pearl,there is a pearl that someone holds a gift
remember,remember all those times when there was a war
jonas,kevin
the ink,the ink on this paper is as black as the night sky
how to keep a lion,sure their teeth might be too sharp
im fine,don't tell me that i was talking to myself
the warm melting sun,there was a warm melting sun
basketball,basketball is the game you play
across the gate,i only know one little song
in the distance,in the distance i hear waves smashing
my dog willie,hidden behind a curtain of gold
black,black mourning
rainy day,i lay awake this rainy day
red,red danger
orange,orange the color of sweet seedless tangelos
black and white,a starless night
hi,thinking we will never say goodbye
no swimming,no swimming
who am i,who am i? do you know? my hair is red
my big brothers,my big brothers help me out
sleep,sleep is good
lollipops,lollipops are good
i love you more than brownies,i love you more than brownies
falling,the sky is getting gray
a friendly writer,everday a pen is used
i am,i am tall and crazy
moon,mellow obedient obtain beauty narrow crescent moon
cherry blossoms,delicate
i am a mutt,im asian
eyes,happy as they look
reflection on a dragons wing,flying high he can see you
mulberry street,on one friday night i was walking outside
dancing,twirling
mickey,this cute white bundle of fur
i am me,i am hollow
eyes,eyes
autumn,as the leaves change
crush,will he ever know i exist? maybe one day if i wish
a tear for toby,toby
brooke victoria,my little sister used to be one
friendship is like,friendship is like silver and gold
a friendship is like,friendship is like silver and gold
absolutely not true poem,a poem and a pencil on loam
messy room,room
sneeze,some things are very lovely
puppy,wish i had a puppy
you and i,you and i are inseperable
your chauffer to the world,words
failure,failure by the dictionary has a base
my dancin shoes,they're black and make lots noise
love for you,almost every afternoon
books,books
snow,the white blanket on a early morning
my best friend,she was a good chef
mountain dew,mountain dew
hugs,a hug shows passion
the feeelings i have for you,the feelings i have for you are so true
its you,my dear enemy
guns,my dogs name is guns
shine moon shine,a moon with a glare
suprise cake,a decorative
tweet me,whispers and rumors go around
sweet tea,tea burning my lip
the snake,there once was a snake named jake
cheese,cheese is a specialty
michael,mikes marry magic mirror
basketball,he dribbles the ball down the floor
admiration poem,drums are the loudest instruments i know
weather,in the springtime you can play for many hours
michael,quiet
me,me my nose is blue
that dog,that dog
lacrosse,i love the sport lacrosse
the great game of football,as i ran real fast
mother,mom you are pretty special
rose,you are like a pretty flower
vampires,a thousand years ago
ode to coins,a copper piece glitters
my self,my eyes are black that is something i do lack
dom,i love you dom
true,some days you feel wrong
basketball,i love basketball
universal language,a universal language
a very odd hat,when i awoke one morning
my bike,mike one day road his bike to the store
lunch for my teacher,if i made lunch for mr
cheese,cheese is scrumptious
baseball,baseball is fun when you slide
jackets,just amazingly comfortable
about my pet rat chance,fluffly
dad,dad six feet tall
kitty boy,i often find my cat sleeping
my shoes,one day when walking down the street
the view,the table is browen and the sky is blue
trees,trees are green
hairy mouse,there was a hairy mouse
im a little bunny,i'm a little bunny short and stowt
thoughts of a cell phone,i am a cell phone
thoughts of a shoe,i am a shoe
guys,they break your heart
memories,i hear shrieking sounds outside
dirt bike,my dirt bike is unique
love,love is in the air
mickel,dangerous active unreliable nagging
snare drum,he is the best drum ever
i cant write a poem,i can't do it
my heart,i think it was your eyes
ode to fried oreos,ode to fried oreos\t o
home of champs,home of champions i am from the home of champions
777,lucky nuber seven
theres a moose on my head,when i awoke one morning
seals,cute seals heating on the rockes
friends,friends are kind
wicked feelings,now doubt- now pain come never again
brain surgery,i am so scared
graduation,the day of graduation
pos poem,mikey nice
the haiku poem,the school bell rings the halls clear
war is over,as you cross the meadows
